username,email,phone,location,password,fullName,photoPath,isBlocked
admin,admin@bsbsboby.local,+00000000000,Admin HQ,$2b$10$rsvlhfTeLtX7.spqkMscdeRbOCmseo5GT7eyVXgSdaw3J4nRwwc/q,Admin User,,false
adam_el-masry_1,adam.el-masry_1@bsbsboby.local,+201014333854,Cairo,$2b$10$h.sUEhY8JN4qol4jw3Z/CO8KUg568fsG9bD6WL.iP2byYmtv2vpoC,Adam El-Masry,/uploads/Abyssinian_121.jpg,false
layla_salem_2,layla.salem_2@bsbsboby.local,+201096431595,Giza,$2b$10$h.sUEhY8JN4qol4jw3Z/CO8KUg568fsG9bD6WL.iP2byYmtv2vpoC,Layla Salem,/uploads/Abyssinian_122.jpg,false
youssef_shahin_3,youssef.shahin_3@bsbsboby.local,+201087852451,Alexandria,$2b$10$h.sUEhY8JN4qol4jw3Z/CO8KUg568fsG9bD6WL.iP2byYmtv2vpoC,Youssef Shahin,/uploads/Abyssinian_123.jpg,false
mariam_osman_4,mariam.osman_4@bsbsboby.local,+201062452994,Mansoura,$2b$10$h.sUEhY8JN4qol4jw3Z/CO8KUg568fsG9bD6WL.iP2byYmtv2vpoC,Mariam Osman,/uploads/Abyssinian_124.jpg,false
mostafa_zaki_5,mostafa.zaki_5@bsbsboby.local,+201056980702,Tanta,$2b$10$h.sUEhY8JN4qol4jw3Z/CO8KUg568fsG9bD6WL.iP2byYmtv2vpoC,Mostafa Zaki,/uploads/Abyssinian_125.jpg,false
yasmin_rashed_6,yasmin.rashed_6@bsbsboby.local,+201087131065,Cairo,$2b$10$h.sUEhY8JN4qol4jw3Z/CO8KUg568fsG9bD6WL.iP2byYmtv2vpoC,Yasmin Rashed,/uploads/american_bulldog_122.jpg,false
ahmed_nofal_7,ahmed.nofal_7@bsbsboby.local,+201035304351,Giza,$2b$10$h.sUEhY8JN4qol4jw3Z/CO8KUg568fsG9bD6WL.iP2byYmtv2vpoC,Ahmed Nofal,/uploads/american_bulldog_123.jpg,false
salma_shaheen_8,salma.shaheen_8@bsbsboby.local,+201018852503,Alexandria,$2b$10$h.sUEhY8JN4qol4jw3Z/CO8KUg568fsG9bD6WL.iP2byYmtv2vpoC,Salma Shaheen,/uploads/american_bulldog_124.jpg,false
sherif_el-feky_9,sherif.el-feky_9@bsbsboby.local,+201037268401,Mansoura,$2b$10$h.sUEhY8JN4qol4jw3Z/CO8KUg568fsG9bD6WL.iP2byYmtv2vpoC,Sherif El-Feky,/uploads/american_bulldog_125.jpg,false
